date_time_UTC,latitude_deg,longitude_deg,depth_km,magnitude_value,magnitude_type,region
2025-09-27 13:37:18,37.780,144.215,12,4.8,mb,"OFF EAST COAST OF HONSHU, JAPAN"
2025-09-26 10:34:29,37.783,144.185,10,4.6,mb,"OFF EAST COAST OF HONSHU, JAPAN"
2025-09-26 06:52:30,32.800,130.600,10,3.0,M,"KYUSHU, JAPAN"
2025-09-26 01:58:30,35.000,140.000,60,3.9,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-25 21:53:01,35.400,127.910,13,2.1,M,SOUTH KOREA
2025-09-25 17:01:03,30.959,140.045,10,4.6,mb,"IZU ISLANDS, JAPAN REGION"
2025-09-25 09:42:27,35.390,125.540,11,2.6,M,YELLOW SEA
2025-09-25 00:14:29,37.839,144.135,10,4.6,mb,"OFF EAST COAST OF HONSHU, JAPAN"
2025-09-24 18:03:16,38.941,142.093,55,4.6,mb,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-24 12:17:30,35.700,139.800,70,3.5,M,"NEAR S. COAST OF HONSHU, JAPAN"
2025-09-23 17:08:14,28.807,128.678,140,4.6,mb,"RYUKYU ISLANDS, JAPAN"
2025-09-23 09:46:30,36.500,140.700,60,3.8,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-22 23:53:11,35.550,129.950,25,2.2,M,SOUTH KOREA
2025-09-22 21:51:34,36.363,142.499,10,4.6,mb,"OFF EAST COAST OF HONSHU, JAPAN"
2025-09-21 17:14:30,36.600,141.000,50,3.8,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-21 02:32:30,36.300,138.000,10,3.0,M,"EASTERN HONSHU, JAPAN"
2025-09-20 21:47:30,40.100,141.900,20,4.0,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-20 20:34:30,29.600,129.800,10,3.8,M,"RYUKYU ISLANDS, JAPAN"
2025-09-20 14:45:30,29.600,129.700,0,4.2,M,"RYUKYU ISLANDS, JAPAN"
2025-09-20 13:04:30,29.600,129.700,0,3.3,M,"RYUKYU ISLANDS, JAPAN"
2025-09-20 12:32:30,29.600,129.800,10,3.4,M,"RYUKYU ISLANDS, JAPAN"
