date_time_UTC,Month,latitude_deg,longitude_deg,dist_to_Tokyo_km,depth_km,magnitude_value,magnitude_type,Category,place,region,data_source
2025-10-04 02:46:30,October,39.7,142.1,496.58,40.0,3.2,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-10-03 08:45:30,October,38.3,141.7,343.86,60.0,3.2,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-10-03 06:20:30,October,37.3,141.3,233.13,60.0,4.4,M,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-10-03 03:48:03,October,35.536,139.948,31.14,110.0,4.5,mb,moderate,"NEAR S. COAST OF HONSHU, JAPAN",NEAR S. COAST OF HONSHU,EMSC
2025-10-03 03:37:09,October,34.92,140.15,95.57,65.0,4.3,M,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-10-02 23:15:30,October,29.6,129.7,1149.83,10.0,3.0,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-10-02 11:41:30,October,33.7,132.5,689.48,40.0,3.5,M,weak,"SHIKOKU, JAPAN",SHIKOKU,EMSC
2025-10-02 00:09:30,October,39.9,140.9,482.3,10.0,3.0,M,weak,"EASTERN HONSHU, JAPAN",EASTERN HONSHU,EMSC
2025-10-01 23:02:50,October,28.488,139.648,799.31,422.0,4.2,mb,moderate,"BONIN ISLANDS, JAPAN REGION",BONIN ISLANDS,EMSC
2025-10-01 19:26:13,October,33.475,142.396,350.86,10.0,4.5,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
2025-10-01 17:40:52,October,37.995,143.929,459.79,10.0,4.5,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
