depth_zone,magnitude
Deep (300–700 km),4.6
Deep (300–700 km),4.5
Deep (300–700 km),4.8
Deep (300–700 km),4.1
Deep (300–700 km),4.2
Deep (300–700 km),4.1
Deep (300–700 km),4.1
Deep (300–700 km),4.0
Deep (300–700 km),5.2
Deep (300–700 km),4.6
Deep (300–700 km),4.8
Deep (300–700 km),4.5
Deep (300–700 km),4.1
Deep (300–700 km),4.6
Deep (300–700 km),4.5
Deep (300–700 km),4.8
Deep (300–700 km),4.1
Deep (300–700 km),4.2
Deep (300–700 km),4.0
Deep (300–700 km),4.1
Deep (300–700 km),4.1
Deep (300–700 km),4.0
